u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Label
-12.5706,-12.5482,-12.1901,-11.7132,-11.5311,-10.9906,5.3825,5.4257,5.4292,5.4467,6.7475,8.1468,D07669_R02AA05
-12.8816,-12.3406,-12.2749,-11.7204,-11.5766,-11.3072,5.4386,5.4864,5.5077,5.518,6.7306,7.6879,D07669_S01AX09
-12.4977,-12.2284,-12.1269,-11.8659,-11.8243,-11.8087,5.4733,5.5409,5.5431,7.0621,7.2047,8.7825,D07669_S02AA09
-12.5708,-12.4715,-12.3589,-11.6683,-11.6558,-11.6366,5.3446,5.3597,5.4763,5.5715,6.9622,8.5229,D07669_S03AA04
-5.3992,-5.3691,-5.3188,-4.5845,-4.4507,-4.4164,2.398,2.4077,2.4537,2.5022,2.574,3.3774,D00203_A01AB04
-5.3996,-5.3692,-5.3203,-4.5806,-4.4446,-4.4167,2.4289,2.447,2.4995,2.5049,2.5817,3.3704,D00203_A07AA07
-5.3997,-5.3697,-5.3213,-4.5765,-4.4383,-4.417,2.4438,2.4529,2.4615,2.5027,2.5935,3.3678,D00203_G01AA03
-5.3998,-5.3701,-5.3204,-4.5779,-4.4399,-4.4169,2.455,2.4586,2.4608,2.5021,2.5873,3.3691,D00203_J02AA01
-4.8681,-4.6456,-4.4521,-4.1529,-1.5599,-1.0776,1.3266,1.3649,1.3683,1.4358,1.6728,1.765,D01588_A01AB06
-2.0477,-1.8922,-1.0568,-0.9959,-0.6491,-0.4602,0.3658,0.4788,0.4848,0.5547,0.8727,1.7438,D05321_A01AB07
-2.0477,-1.8922,-1.0568,-0.9959,-0.6491,-0.4602,0.3658,0.4788,0.4848,0.5547,0.8727,1.7438,D05321_D08AH03
-2.0477,-1.8922,-1.0568,-0.9959,-0.6491,-0.4602,0.3658,0.4788,0.4848,0.5547,0.8727,1.7438,D05321_G01AC30
-2.0477,-1.8922,-1.0568,-0.9959,-0.6491,-0.4602,0.3658,0.4788,0.4848,0.5547,0.8727,1.7438,D05321_R02AA14
-2.0477,-1.8922,-1.0568,-0.9959,-0.6491,-0.4602,0.3658,0.4788,0.4848,0.5547,0.8727,1.7438,D02414_A01AB07
-2.0477,-1.8922,-1.0568,-0.9959,-0.6491,-0.4602,0.3658,0.4788,0.4848,0.5547,0.8727,1.7438,D02414_D08AH03
-2.0477,-1.8922,-1.0568,-0.9959,-0.6491,-0.4602,0.3658,0.4788,0.4848,0.5547,0.8727,1.7438,D02414_G01AC30
-2.0477,-1.8922,-1.0568,-0.9959,-0.6491,-0.4602,0.3658,0.4788,0.4848,0.5547,0.8727,1.7438,D02414_R02AA14
-2.3767,-2.3714,-0.841,-0.7588,-0.6113,-0.6022,0.4795,0.5924,1.0053,1.0204,1.0715,1.0898,D00416_A01AB09
-2.3932,-2.3713,-0.8586,-0.7771,-0.6027,-0.5811,0.4825,0.5215,0.7982,1.0105,1.0848,1.0865,D00416_A07AC01
-2.3428,-2.325,-0.8548,-0.7133,-0.6119,-0.5756,0.4669,0.6186,0.916,0.9989,1.0152,1.0834,D00416_D01AC02
-2.4178,-2.3489,-0.8361,-0.8031,-0.7737,-0.6138,0.4979,0.6793,0.9454,0.9955,1.0644,1.0822,D00416_G01AF04
-2.3841,-2.331,-0.9971,-0.8086,-0.8004,-0.5915,0.508,0.5853,0.9875,1.0366,1.0434,1.0965,D00416_J02AB01
-2.3669,-2.3542,-0.846,-0.7491,-0.6009,-0.5778,0.4759,0.5335,0.7748,1.0066,1.0695,1.0894,D00416_S02AA13
-2.3671,-2.3543,-0.8462,-0.7474,-0.6008,-0.5773,0.4741,0.5294,0.7733,1.0071,1.069,1.0882,D00882_A01AB09
