u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Label
-6.0289,-4.6062,-4.5975,-4.5853,-2.0503,-1.3062,1.4684,1.4818,1.5604,1.5704,1.5777,1.6983,D07308-01
-9.3316,-9.3306,-9.3272,-9.3246,-9.3227,-9.3219,4.1316,4.136,5.3253,5.3265,5.327,5.3276,D06891-01
-5.4835,-5.4829,-5.4792,-4.32,-4.3195,-4.3195,1.7857,1.8009,1.812,1.8791,2.4198,2.5321,D08516-01
-6.1611,-4.694,-4.6889,-4.6826,-2.8924,-2.2852,1.5737,1.594,1.6081,1.6475,1.9738,2.4755,D08458-01
-6.2438,-6.0266,-4.623,-4.586,-1.3083,-1.1752,1.5698,1.5737,1.6246,1.9803,2.001,2.1332,D09917-01
-3.6388,-0.9992,-0.9234,-0.8836,-0.7575,-0.7246,0.5296,0.5329,0.6294,0.6412,0.6691,0.7352,D05674-01
-6.1492,-5.2719,-4.6893,-4.6844,-4.6302,-3.9981,1.8025,2.3816,2.3942,2.5746,3.0617,3.4659,D09399-01
-5.1416,-5.1415,-5.0633,-5.0607,-3.8536,-3.8516,1.8054,1.8524,1.8558,2.2157,2.2379,4.1451,D08658-01
-3.147,-3.1445,-2.2445,-1.9148,-1.9142,-1.914,2.0954,2.3009,2.3391,2.3809,2.3923,2.4303,D08266-01
-9.6238,-8.8265,-5.4807,-5.4803,-5.4799,-4.8655,2.698,2.7055,2.9292,3.0217,3.0413,5.2872,D07936-01
-9.3066,-9.2996,-6.0282,-4.5792,-4.5786,-4.5702,1.5692,1.5718,1.6477,1.7543,2.1783,5.3625,D07958-01
-4.4983,-3.7044,-3.6974,-3.6088,-3.6078,-2.9652,1.7931,1.8319,1.8324,1.8348,2.3222,2.3242,D07757-01
-6.0265,-6.0249,-5.1629,-4.5992,-4.5977,-4.5855,2.3597,2.3623,2.6782,2.9917,3.0537,4.6516,D05700-01
-6.16,-4.6946,-4.6921,-4.6699,-2.8945,-2.8904,1.6087,1.6141,1.6236,1.9794,2.7114,3.2144,D06204-01
-13.9149,-13.9149,-13.9149,-13.9149,4.7921,4.7921,4.7921,4.7921,4.7936,4.7936,4.7936,4.7936,D08853-01
-6.6747,-5.2444,-4.2621,-4.2609,-3.6153,-2.8912,1.5707,1.6399,2.0362,2.0417,2.213,2.8974,D06573-01
-5.0661,-4.1007,-3.5578,-2.607,-1.743,-1.5785,1.2925,1.327,1.5353,1.686,1.7802,2.0449,D05293-01
-6.1738,-6.17,-4.6938,-4.6791,-4.6712,-4.6678,2.1366,2.2542,2.3277,2.5145,2.6375,2.6408,D07486-01
-3.7045,-3.6974,-3.5398,-3.2976,-2.972,-2.8857,1.5087,1.7806,1.7829,1.8363,1.8692,1.9547,D06082-01
-4.8737,-4.8699,-4.8669,-4.8325,-4.2827,-3.0032,1.4812,1.4899,1.4922,1.4932,1.5216,1.5481,D09752-01
-6.1521,-6.0309,-4.6917,-4.6899,-3.8313,-3.8281,1.805,1.9156,1.9248,1.9435,1.9672,2.0772,D07804-01
-4.9471,-4.9428,-4.9337,-4.9314,-4.4304,-4.4302,1.5742,1.588,1.6044,1.6759,1.6761,2.597,D06061-01
-9.3284,-9.3139,-5.3697,-5.3696,-5.367,-4.5946,2.2443,2.2572,3.2636,3.8433,4.6638,5.3297,D05292-01
-6.1418,-6.139,-5.9729,-4.8624,-4.6842,-4.684,2.501,2.8267,2.8527,2.9396,2.9462,3.3404,D06304-01
-4.2786,-1.6166,-1.0952,-1.0107,-0.6812,-0.5491,0.4465,0.4603,0.6162,0.8167,0.9017,1.2768,D08213-01
-4.14,-3.5825,-3.0115,-3.0045,-2.9118,-1.65,0.9557,1.2083,1.2267,1.3703,1.6311,2.0584,D09879-01
-6.029,-4.6268,-4.6209,-4.6036,-3.0345,-3.0313,1.5752,1.5774,1.582,1.7388,1.7458,3.9971,D06079-01
-4.9356,-4.9236,-4.9218,-4.9215,-4.9197,-4.9142,2.4332,2.435,2.6134,3.3208,3.3266,3.3268,D09714-01
-9.6242,-8.8251,-6.5703,-4.8128,-4.4311,-3.9992,2.571,2.5717,2.8659,2.9837,3.1147,5.2632,D07992-01
-9.6237,-8.8254,-7.3279,-6.1685,-6.1556,-4.712,2.411,2.5008,2.519,2.5428,4.8262,5.2971,D08118-01
